"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"1132","SN 1996cl","10:56:59.131","-03:37:36.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","24","","1996-03-18 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6621; PositionRef=IAUC 6621; Orig Type=Ia?  ]","","",""
"1131","SN 1996ck","12:48:35.191","-00:46:03.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","23","","1996-03-17 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6621; PositionRef=IAUC 6621; Orig Type=Ia?  ]","","",""
"1129","SN 1996ci","13:45:56.160","+02:26:53.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","1996-03-17 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6621; PositionRef=IAUC 6621; Orig Type=Ia   ]","","",""
"1128","SN 1996ch","11:59:37.730","-09:54:34.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","24.1","","1996-03-17 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6621; PositionRef=IAUC 6621; Orig Type=Ia   ]","","",""
"1127","SN 1996cg","08:24:13.330","+03:24:58.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","1996-03-17 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6621; PositionRef=IAUC 6621; Orig Type=Ia   ]","","",""
"1126","SN 1996cf","10:48:50.959","+00:03:30.38","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.7","","1996-03-17 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6621; PositionRef=IAUC 6621; Orig Type=Ia   ]","","",""
"1121","SN 1996ca","22:30:59.261","-13:59:50.89","SN Ia","","NGC 7300        ","","","","","","","","","0","1","","16.5","","1996-12-15 00:00:00.000","","[Discoverer=Aoki; DiscoveryRef=IAUC 6523; PositionRef=IAUC 6523; Orig Type=Ia   ]","","",""
"1118","SN 1996by","05:58:24.960","+68:27:12.10","SN Ia","","UGC 3379        ","","","","","","","","","0","1","","16.5","","1996-12-14 00:00:00.000","","[Discoverer=BAO Supernova Survey; DiscoveryRef=IAUC 6522; PositionRef=IAUC 6523; Orig Type=Ia   ]","","",""
"1117","SN 1996bx","03:59:16.450","-53:22:26.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.2","","1996-11-18 00:00:00.000","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6517; PositionRef=IAUC 6517; Orig Type=Ia   ]","","",""
"1115","SN 1996bv","06:16:13.001","+57:03:08.89","SN Ia","","UGC 3432        ","","","","","","","","","0","1","","16.6","","1996-11-03 00:00:00.000","","[Discoverer=BAO Supernova Survey; DiscoveryRef=IAUC 6508; PositionRef=IAUC 6513; Orig Type=Ia   ]","","",""
"1113","SN 1996bt","06:51:60.000","+16:18:00.00","SN Ia","0.008923","CGCG 85-9","","","","","","","","","0","1","","16.5","","1996-11-10 00:00:00.000","","[Discoverer=Berlind; DiscoveryRef=IAUC 6503; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org","","",""
"1108","SN 1996bo","01:48:22.800","+11:31:15.82","SN Ia","","NGC 673         ","","","","","","","","","0","1","","16.5","","1996-10-18 00:00:00.000","","[Discoverer=BAO Supernova Survey; Armstrong; Okazaki; DiscoveryRef=IAUC 6497; PositionRef=IAUC 6497; Orig Type=Ia   ]","","",""
"1107","SN 1996bn","06:15:48.000","+64:25:60.00","SN Ia","","UGC 3430        ","","","","","","","","","0","1","","18","","1996-10-17 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 6496; PositionRef=; Orig Type=Ia?  ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org","","",""
"1105","SN 1996bl","00:36:17.969","+11:23:40.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.4","","1996-10-11 00:00:00.000","","[Discoverer=Pollas; DiscoveryRef=IAUC 6492; PositionRef=IAUC 6492; Orig Type=Ia   ]","","",""
"1104","SN 1996bk","13:46:57.979","+60:58:12.90","SN Ia","","NGC 5308        ","","","","","","","","","0","1","","14.5","","1996-10-12 00:00:00.000","","[Discoverer=Mazza, Pesci; DiscoveryRef=IAUC 6491; PositionRef=IAUC 6491; Orig Type=Ia   ]","","",""
"1103","SN 1996bj","02:11:49.531","+01:24:51.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","1996-10-09 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1102","SN 1996bi","01:52:35.839","+00:02:43.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","23","","1996-10-09 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1101","SN 1996bh","01:11:31.531","-00:57:38.09","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.8","","1996-10-09 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1099","SN 1996bf","02:12:15.389","+01:27:48.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","1996-10-09 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1097","SN 1996bd","23:59:26.981","-00:56:16.58","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","1996-10-09 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1096","SN 1996bc","03:12:06.581","+00:38:17.09","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","1996-10-08 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1095","SN 1996bb","02:57:06.060","-02:42:17.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.6","","1996-10-08 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia?  ]","","",""
"1094","SN 1996ba","01:08:39.869","-00:56:38.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.5","","1996-10-08 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1091","SN 1996ay","00:09:57.410","+00:53:37.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.9","","1996-10-08 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1089","SN 1996aw","21:53:47.100","+00:02:47.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","1996-10-08 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1088","SN 1996av","01:53:54.221","+00:15:30.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.4","","1996-09-15 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1087","SN 1996au","03:12:47.791","+00:45:11.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","1996-09-15 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6490; PositionRef=IAUC 6490; Orig Type=Ia   ]","","",""
"1084","SN 1996ar","01:31:52.399","-02:13:03.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","1996-08-20 00:00:00.000","","[Discoverer=Pollas; DiscoveryRef=IAUC 6461; PositionRef=IAUC 6461; Orig Type=Ia   ]","","",""
"1079","SN 1996am","21:46:07.481","-44:00:12.71","SN Ia","","Anon.           ","","","","","","","","","0","1","","19","","1996-07-12 00:00:00.000","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6441; PositionRef=IAUC 6441; Orig Type=Ia   ]","","",""
"1076","SN 1996aj","13:29:06.821","-29:14:02.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","1996-06-15 00:00:00.000","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6424; PositionRef=IAUC 6424; Orig Type=Ia   ]","","",""
"1075","SN 1996ai","13:10:58.130","+37:03:35.39","SN Ia","","NGC 5005        ","","","","","","","","","0","1","","14.5","","1996-06-16 00:00:00.000","","[Discoverer=Bottari; DiscoveryRef=IAUC 6422; PositionRef=IAUC 6422; Orig Type=Ia   ]","","",""
"1074","SN 1996ah","14:20:39.019","+80:07:21.00","SN Ia","","NGC 5640        ","","","","","","","","","0","1","","18","","1996-06-06 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 6421; PositionRef=IAUC 6427; Orig Type=Ia   ]","","",""
"1069","SN 1996ac","12:24:11.239","+01:24:14.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.5","","1996-05-21 00:00:00.000","","[Discoverer=McNaught; DiscoveryRef=IAUC 6406; PositionRef=IAUC 6406; Orig Type=Ia   ]","","",""
"1068","SN 1996ab","15:21:08.350","+27:55:36.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","1996-05-12 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 6405; PositionRef=IAUC 6410; Orig Type=Ia   ]","","",""
"1067","SN 1996aa","14:18:25.400","+36:29:39.00","SN Ia","","NGC 5557        ","","","","","","","","","0","1","","17","","1996-05-16 00:00:00.000","","[Discoverer=Johnson; DiscoveryRef=IAUC 6403; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org","","",""
"1161","SN 1996Z","09:36:44.820","-21:08:51.68","SN Ia","","NGC 2935        ","","","","","","","","","0","1","","16","","1996-05-16 00:00:00.000","","[Discoverer=Johnson; DiscoveryRef=IAUC 6401; PositionRef=IAUC 6403; Orig Type=Ia   ]","","",""
"1159","SN 1996X","13:18:01.130","-26:50:45.31","SN Ia","","NGC 5061        ","","","","","","","","","0","1","","13","","1996-04-12 00:00:00.000","","[Discoverer=Evans; Takamizawa; DiscoveryRef=IAUC 6380; PositionRef=IAUC 6380; Orig Type=Ia   ]","","",""
"1156","SN 1996U","11:50:33.509","+10:26:45.38","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","1996-03-15 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6358; PositionRef=IAUC 6358; Orig Type=Ia   ]","","",""
"1155","SN 1996T","10:05:27.660","-07:27:23.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","1996-03-15 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6358; PositionRef=IAUC 6358; Orig Type=Ia   ]","","",""
"1153","SN 1996R","11:16:10.361","-00:11:39.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.6","","1996-03-15 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6358; PositionRef=IAUC 6358; Orig Type=Ia   ]","","",""
