Kiyota et al. (2015f)          |                    Not explained in the paper
Kiyota et al. (2015g)          |                    Not explained in the paper
Kiyota et al. (2015h)          |                    Not explained in the paper
Kiyota et al. (2015i)          |                    Not explained in the paper
Kiyota et al. (2015j)          |                    Not explained in the paper
Kiyota et al. (2015k)          |                    Not explained in the paper
Kiyota et al. (2015l)          |                    Not explained in the paper
Kiyota et al. (2015m)          |                    Not explained in the paper
Kiyota et al. (2015n)          |                    Not explained in the paper
Kiyota et al. (2015o)          |                    Not explained in the paper
Kiyota et al. (2015p)          |                    Not explained in the paper
Kiyota et al. (2015q)          |                    Not explained in the paper
Kiyota et al. (2015r)          |                    Not explained in the paper
Kiyota et al. (2015s)          |                    Not explained in the paper
Kiyota et al. (2015t)          |                    Not explained in the paper
Kiyota et al. (2015u)          |                    Not explained in the paper
Kiyota et al. (2015v)          |                    Not explained in the paper
Kiyota et al. (2015w)          |                    Not explained in the paper
Koff et al. (2015a)            |                    Not explained in the paper
Koff et al. (2015b)            |                    Not explained in the paper
Koff et al. (2015c)            |                    Not explained in the paper
Krannich et al. (2015a)        |                    Not explained in the paper
Krannich et al. (2015b)        |                    Not explained in the paper
Kuncarayakti et al. (2015a)    |                    Not explained in the paper
Kuncarayakti et al. (2015b)    |                    Not explained in the paper
Le Guillou et al. (2015)       |                    Not explained in the paper
Leonard et al. (2015a)         |                    Not explained in the paper
Leonard et al. (2015b)         |                    Not explained in the paper
Lyman et al. (2015a)           |                    Not explained in the paper
Lyman et al. (2015b)           |                    Not explained in the paper
Marples et al. (2015)          |                    Not explained in the paper
Masi et al. (2015a)            |                    Not explained in the paper
Masi et al. (2015b)            |                    Not explained in the paper
Masi et al. (2015c)            |                    Not explained in the paper
Masi et al. (2015d)            |                    Not explained in the paper
Masi et al. (2015e)            |                    Not explained in the paper
Masi et al. (2015f)            |                    Not explained in the paper
Masi et al. (2015g)            |                    Not explained in the paper
Masi et al. (2015h)            |                    Not explained in the paper
Masi et al. (2015i)            |                    Not explained in the paper
Masi et al. (2015j)            |                    Not explained in the paper
Masi et al. (2015k)            |                    Not explained in the paper
Masi et al. (2015l)            |                    Not explained in the paper
Masi et al. (2015m)            |                    Not explained in the paper
Masi et al. (2015n)            |                    Not explained in the paper
Masi et al. (2015o)            |                    Not explained in the paper
Masi et al. (2015p)            |                    Not explained in the paper
Masi et al. (2015q)            |                    Not explained in the paper
Masi et al. (2015r)            |                    Not explained in the paper
Migotto et al. (2015)          |                    Not explained in the paper
Milisavljevic et al. (2015)    |2015ATel.69486...1M
Monard et al. (2015)           |                    Not explained in the paper
Monroe et al. (2015)           |                    Not explained in the paper
Morrell & Lira (2015)          |                    Not explained in the paper
Morrell (2015)                 |                    Not explained in the paper
Morrell et al. (2015a)         |2015ATel.6920....1M
Morrell et al. (2015b)         |2015ATel.6988....1M
Morrell et al. (2015c)         |                    Not explained in the paper
Nicholls et al. (2015a)        |                    Not explained in the paper
Nicholls et al. (2015b)        |                    Not explained in the paper
Nicholls et al. (2015c)        |                    Not explained in the paper
Nicholls et al. (2015d)        |                    Not explained in the paper
Nicholls et al. (2015e)        |                    Not explained in the paper
Nicolas et al. (2015a)         |                    Not explained in the paper
Nicolas et al. (2015b)         |                    Not explained in the paper
Nicolas et al. (2015c)         |                    Not explained in the paper
Nicolas et al. (2015d)         |                    Not explained in the paper
Nicolas et al. (2015e)         |                    Not explained in the paper
Noebauer et al. (2015)         |                    Not explained in the paper
Nyholm et al. (2015)           |2015ATel.6994....1N
Ochner et al. (2015a)          |2015ATel.6925....1O
Ochner et al. (2015b)          |                    Not explained in the paper
Pan et al. (2015a)             |                    Not explained in the paper
Pan et al. (2015b)             |                    Not explained in the paper
Pan et al. (2016)              |                    Not explained in the paper
Pastorello et al. (2015)       |2015MNRAS.453.3649P
Piascik & Steele (2015a)       |                    Not explained in the paper
Piascik & Steele (2015b)       |                    Not explained in the paper
Piascik & Steele (2015c)       |                    Not explained in the paper
Piascik et al. (2015)          |                    Not explained in the paper
Porter et al. (2015a)          |                    Not explained in the paper
Porter et al. (2015b)          |                    Not explained in the paper
Porter et al. (2015c)          |                    Not explained in the paper
Prajs et al. (2015)            |                    Not explained in the paper
Prieto & Shappee (2015)        |                    Not explained in the paper
Prieto (2015)                  |                    Not explained in the paper
Prieto et al. (2015a)          |                    Not explained in the paper
Prieto et al. (2015b)          |                    Not explained in the paper
Prieto et al. (2015c)          |                    Not explained in the paper
Reynolds et al. (2015)         |                    Not explained in the paper
Romero-Canizales et al. (2015) |                    Not explained in the paper
Rui et al. (2015)              |                    Not explained in the paper
Rui et al. (2016)              |                    Not explained in the paper
Seibert et al. (2016)          |                    Not explained in the paper
Shappee et al. (2015a)         |2015ATel.6867....1S
Shappee et al. (2015b)         |2015ATel.6882....1S
Shappee et al. (2015c)         |                    Not explained in the paper
Shappee et al. (2015d)         |                    Not explained in the paper
Shappee et al. (2015e)         |                    Not explained in the paper
Shappee et al. (2015f)         |                    Not explained in the paper
Shivvers & Filippenko (2015)   |                    Not explained in the paper
Shivvers et al. (2015)         |                    Not explained in the paper
Simon et al. (2015)            |2015ATel.6905....1S
Stanek et al. (2015a)          |                    Not explained in the paper
Stanek et al. (2015b)          |                    Not explained in the paper
Stanek et al. (2015c)          |                    Not explained in the paper
Taddia & Stritzinger (2015)    |                    Not explained in the paper
Takats et al. (2015)           |                    Not explained in the paper
Tartaglia et al. (2015)        |                    Not explained in the paper
Tomasella et al. (2015a)       |2015ATel.6899....1T
Tomasella et al. (2015b)       |                    Not explained in the paper
Tomasella et al. (2015c)       |                    Not explained in the paper
Tomasella et al. (2015d)       |                    Not explained in the paper
Tomasella et al. (2015e)       |                    Not explained in the paper
Tomasella et al. (2015f)       |                    Not explained in the paper
Tomasella et al. (2015g)       |                    Not explained in the paper
Tomasella et al. (2015h)       |                    Not explained in the paper
Torres et al. (2015)           |                    Not explained in the paper
Turatto et al. (2015)          |                    Not explained in the paper
Wang et al. (2015)             |                    Not explained in the paper
Xin & Zhang (2015)             |                    Not explained in the paper
Yi & Zhang (2015)              |                    Not explained in the paper
Zhang & Wang (2015a)           |2015ATel.6949....1Z
Zhang & Wang (2015b)           |2015ATel.7006....1Z
Zhang & Wang (2015c)           |                    Not explained in the paper
Zhang & Wang (2015d)           |                    Not explained in the paper
Zhang et al. (2015)            |                    Not explained in the paper
Zheng et al. (2015a)           |                    Not explained in the paper
Zheng et al. (2015b)           |                    Not explained in the paper
Zheng et al. (2015c)           |                    Not explained in the paper
Zinn et al. (2015a)            |                    Not explained in the paper
Zinn et al. (2015b)            |                    Not explained in the paper
