Stritzinger et al. (2014)          2014ATel.6580....1S
Takats et al. (2014a)              2014ATel.6384....1T
Takats et al. (2014b)              2014ATel.6384....1T
Tartaglia et al. (2014)            2014ATel.6417....1T
Thorstensen et al. (2014a)         2014ATel.6571....1T
Thorstensen et al. (2014b)         2014ATel.6801....1T
Thorstensen et al. (2014c)                             Not explained in the paper
Tomasella et al. (2014a)           2014ATel.6290....1T
Tomasella et al. (2014b)           2014ATel.6321....1T
Wagner et al. (2014a)              2014ATel.6203....1W
Wagner et al. (2014b)              2014ATel.6420....1W
Wagner et al. (2014c)                                  Not explained in the paper
Zhang & Wang (2014a)               2014ATel.6545....1Z
Zhang & Wang (2014b)               2014ATel.6813....1Z
Zhang & Wang (2014c)               2014ATel.6814....1Z
Zhang & Wang (2014d)               2014ATel.6827....1Z
Zhang et al. (2014)                2014ATel.5823....1Z
CBET 003576                                            2013, CBET, 3576
CBET003635                                             2013, CBET, 3635
