2016ATel.9075....1T Terndrup et al. (2016)
2016ATel.8694....1T Terreran et al. (2016a)
2016ATel.8672....1T Tomasella et al. (2016a)
2016ATel.9024....1T Tomasella et al. (2016b)
2016ATel.9420....1T Tomasella et al. (2016c)
2016ATel.9610....1T Tomasella et al. (2016d)
2016ATel.8680....1T Tonry et al. (2016)
2016ATel.9829....1T Turatto et al. (2016)
2016ATel.8763....1W Wiethoff et al. (2016)
2017ATel.9926....1X Xiang et al. (2017)
2016ATel.8540....1X Xin & Zhang (2016)
2016ATel.8550....1Z Zhang (2016)
2016ATel.9093....1Z Zhang et al. (2016)
